years	months	days	hours	minutes	seconds	Q
2009	8	16	0	0	0	NaN
2009	8	16	0	1	0	NaN
2009	8	16	0	2	0	NaN
2009	8	16	0	3	0	NaN
2009	8	16	0	4	0	NaN
2009	8	16	0	5	0	NaN
2009	8	16	0	6	0	NaN
2009	8	16	0	7	0	NaN
2009	8	16	0	8	0	NaN
2009	8	16	0	9	0	NaN
2009	8	16	0	10	0	NaN
2009	8	16	0	11	0	NaN
2009	8	16	0	12	0	NaN
2009	8	16	0	13	0	NaN
2009	8	16	0	14	0	NaN
2009	8	16	0	15	0	NaN
2009	8	16	0	16	0	NaN
2009	8	16	0	17	0	NaN
2009	8	16	0	18	0	NaN
2009	8	16	0	19	0	NaN
2009	8	16	0	20	0	NaN
2009	8	16	0	21	0	NaN
2009	8	16	0	22	0	NaN
2009	8	16	0	23	0	NaN
2009	8	16	0	24	0	NaN
2009	8	16	0	25	0	NaN
2009	8	16	0	26	0	NaN
2009	8	16	0	27	0	NaN
2009	8	16	0	28	0	NaN
2009	8	16	0	29	0	NaN
2009	8	16	0	30	0	NaN
2009	8	16	0	31	0	NaN
2009	8	16	0	32	0	NaN
2009	8	16	0	33	0	NaN
2009	8	16	0	34	0	NaN
2009	8	16	0	35	0	NaN
2009	8	16	0	36	0	NaN
2009	8	16	0	37	0	NaN
2009	8	16	0	38	0	NaN
2009	8	16	0	39	0	NaN
2009	8	16	0	40	0	NaN
2009	8	16	0	41	0	NaN
2009	8	16	0	42	0	NaN
2009	8	16	0	43	0	NaN
2009	8	16	0	44	0	NaN
2009	8	16	0	45	0	NaN
2009	8	16	0	46	0	NaN
2009	8	16	0	47	0	NaN
2009	8	16	0	48	0	NaN
2009	8	16	0	49	0	NaN
2009	8	16	0	50	0	NaN
2009	8	16	0	51	0	NaN
2009	8	16	0	52	0	NaN
2009	8	16	0	53	0	NaN
2009	8	16	0	54	0	NaN
2009	8	16	0	55	0	NaN
2009	8	16	0	56	0	NaN
2009	8	16	0	57	0	NaN
2009	8	16	0	58	0	NaN
2009	8	16	0	59	0	NaN
2009	8	16	1	0	0	NaN
2009	8	16	1	1	0	NaN
2009	8	16	1	2	0	NaN
2009	8	16	1	3	0	NaN
2009	8	16	1	4	0	NaN
2009	8	16	1	5	0	NaN
2009	8	16	1	6	0	NaN
2009	8	16	1	7	0	NaN
2009	8	16	1	8	0	NaN
2009	8	16	1	9	0	NaN
2009	8	16	1	10	0	NaN
2009	8	16	1	11	0	NaN
2009	8	16	1	12	0	NaN
2009	8	16	1	13	0	NaN
2009	8	16	1	14	0	NaN
2009	8	16	1	15	0	NaN
2009	8	16	1	16	0	NaN
2009	8	16	1	17	0	NaN
2009	8	16	1	18	0	NaN
2009	8	16	1	19	0	NaN
2009	8	16	1	20	0	NaN
2009	8	16	1	21	0	NaN
2009	8	16	1	22	0	NaN
2009	8	16	1	23	0	NaN
2009	8	16	1	24	0	NaN
2009	8	16	1	25	0	NaN
2009	8	16	1	26	0	NaN
2009	8	16	1	27	0	NaN
2009	8	16	1	28	0	NaN
2009	8	16	1	29	0	NaN
2009	8	16	1	30	0	NaN
2009	8	16	1	31	0	NaN
2009	8	16	1	32	0	NaN
2009	8	16	1	33	0	NaN
2009	8	16	1	34	0	NaN
2009	8	16	1	35	0	NaN
2009	8	16	1	36	0	NaN
2009	8	16	1	37	0	NaN
2009	8	16	1	38	0	NaN
2009	8	16	1	39	0	NaN
2009	8	16	1	40	0	NaN
2009	8	16	1	41	0	NaN
2009	8	16	1	42	0	NaN
2009	8	16	1	43	0	NaN
2009	8	16	1	44	0	NaN
2009	8	16	1	45	0	NaN
2009	8	16	1	46	0	NaN
2009	8	16	1	47	0	NaN
2009	8	16	1	48	0	NaN
2009	8	16	1	49	0	NaN
2009	8	16	1	50	0	NaN
2009	8	16	1	51	0	NaN
2009	8	16	1	52	0	NaN
2009	8	16	1	53	0	NaN
2009	8	16	1	54	0	NaN
2009	8	16	1	55	0	NaN
2009	8	16	1	56	0	NaN
2009	8	16	1	57	0	NaN
2009	8	16	1	58	0	NaN
2009	8	16	1	59	0	NaN
2009	8	16	2	0	0	NaN
2009	8	16	2	1	0	NaN
2009	8	16	2	2	0	NaN
2009	8	16	2	3	0	NaN
2009	8	16	2	4	0	NaN
2009	8	16	2	5	0	NaN
2009	8	16	2	6	0	NaN
2009	8	16	2	7	0	NaN
2009	8	16	2	8	0	NaN
2009	8	16	2	9	0	NaN
2009	8	16	2	10	0	NaN
2009	8	16	2	11	0	NaN
2009	8	16	2	12	0	NaN
2009	8	16	2	13	0	NaN
2009	8	16	2	14	0	NaN
2009	8	16	2	15	0	NaN
2009	8	16	2	16	0	NaN
2009	8	16	2	17	0	NaN
2009	8	16	2	18	0	NaN
2009	8	16	2	19	0	NaN
2009	8	16	2	20	0	NaN
2009	8	16	2	21	0	NaN
2009	8	16	2	22	0	NaN
2009	8	16	2	23	0	NaN
2009	8	16	2	24	0	NaN
2009	8	16	2	25	0	NaN
